variable,category,n,pct
age_group,18-24,18,8.737864077669903
age_group,25-34,51,24.75728155339806
age_group,35-44,69,33.49514563106796
age_group,45-54,39,18.932038834951456
age_group,55-64,17,8.25242718446602
age_group,65+,12,5.825242718446602
gender,Man,109,52.9126213592233
gender,Non-binary,2,0.9708737864077669
gender,Woman,95,46.116504854368934
education,Bachelor's degree,96,46.601941747572816
education,Doctoral or professional degree,3,1.4563106796116505
education,High school or less,27,13.106796116504855
education,Master's degree,26,12.62135922330097
education,Some college,54,26.21359223300971
occupation,Creative & Design,12,5.825242718446602
occupation,Education,11,5.339805825242718
occupation,Finance,13,6.310679611650485
occupation,Healthcare,14,6.796116504854369
occupation,Management & Executive,18,8.737864077669903
occupation,Marketing & Sales,16,7.766990291262135
occupation,Other (please specify),61,29.61165048543689
occupation,Research & Academic,10,4.854368932038835
occupation,Software & IT,43,20.87378640776699
occupation,Student,8,3.8834951456310676
industry,Education,16,7.766990291262135
industry,Finance & Insurance,19,9.223300970873787
industry,Government,3,1.4563106796116505
industry,Healthcare,17,8.25242718446602
industry,Manufacturing,10,4.854368932038835
industry,Media & Entertainment,13,6.310679611650485
industry,Other (please specify),56,27.184466019417474
industry,Retail & E-commerce,22,10.679611650485436
industry,Technology,50,24.271844660194176
